Country,Capital,Capital_Latitude,Capital_Longitude,Timezone,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
Greenland,Nuuk,64.18333333,-51.75,America/Godthab,1563696084,Foggy,fog,0,0.003,0.04,rain,42.83,38.21,42.83,1,1011.02,7.65,7.65,199,0.99,0
,,,,,,,,,,,,,,,,,,,,,
Grenada,Saint George's,12.05,-61.75,America/Grenada,1563696086,Humid and Partly Cloudy,partly-cloudy-night,0,0.001,0.05,rain,78.83,82.42,75.04,0.88,1012.97,5.78,18.94,72,0.15,0
,,,,,,,,,,,,,,,,,,,,,
Guam,Hagatna,13.46666667,144.733333,Pacific/Guam,1563696087,Possible Drizzle and Humid,rain,0,0.01,0.53,rain,83.16,90.7,75.11,0.77,1008.7,3.01,4.19,107,0.73,0
,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala City,14.61666667,-90.516667,America/Guatemala,1563696089,Mostly Cloudy,partly-cloudy-night,0,0.003,0.12,rain,65.77,66.25,62.56,0.89,1014.61,10.17,12.41,358,0.71,0
,,,,,,,,,,,,,,,,,,,,,
Guernsey,Saint Peter Port,49.45,-2.533333,Europe/Guernsey,1563696090,Partly Cloudy,partly-cloudy-day,77,335,0,0,62.43,62.83,60.91,0.95,1021.77,7.22,11.25,208,0.37,2
,,,,,,,,,,,,,,,,,,,,,
Guinea,Conakry,9.5,-13.7,Africa/Conakry,1563696092,Humid and Overcast,cloudy,0,0,0,79.17,82.78,73.57,0.83,1014.14,3.98,3.98,305,0.93,1,10
,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Bissau,11.85,-15.583333,Africa/Bissau,1563696093,Humid and Partly Cloudy,partly-cloudy-day,0,0,78.67,82.12,75.34,0.9,1013.8,4.01,8.59,21,0.38,1,6.239,280.2
,,,,,,,,,,,,,,,,,,,,,
Guyana,Georgetown,6.8,-58.15,America/Guyana,1563696095,Possible Light Rain and Humid,rain,0,0.027,0.34,rain,74.86,76.47,73.09,0.94,1011.64,5.32,6.69,129,0.77,0
,,,,,,,,,,,,,,,,,,,,,
Haiti,Port-au-Prince,18.53333333,-72.333333,America/Port-au-Prince,1563696098,Partly Cloudy,partly-cloudy-night,0,0.005,0.05,rain,74.69,75.6,67.91,0.79,1014.98,3.39,5.15,101,0.38,0
,,,,,,,,,,,,,,,,,,,,,
Vatican City,Vatican City,41.9,12.45,Europe/Rome,1563696100,Clear,clear-day,0,0,80.63,81.6,61.38,0.52,1020.62,2.84,4.32,200,0,5,6.241,320.9
,,,,,,,,,,,,,,,,,,,,,
Honduras,Tegucigalpa,14.1,-87.216667,America/Tegucigalpa,1563696101,Partly Cloudy,partly-cloudy-night,0,0.002,0.07,rain,67.5,68,63.24,0.86,1013.57,8.93,20.28,0,0.47,0
,,,,,,,,,,,,,,,,,,,,,
Hungary,Budapest,47.5,19.083333,Europe/Budapest,1563696103,Mostly Cloudy,partly-cloudy-day,0,0,80.55,83.33,68.31,0.66,1017.92,5.83,7.89,139,0.83,3,6.242,325.9
,,,,,,,,,,,,,,,,,,,,,
Iceland,Reykjavik,64.15,-21.95,Atlantic/Reykjavik,1563696104,Mostly Cloudy,partly-cloudy-day,0,0.001,0.09,rain,56.73,56.73,48.62,0.74,1004.47,3.92,4.16,326,0.74,1
,,,,,,,,,,,,,,,,,,,,,
India,New Delhi,28.6,77.2,Asia/Kolkata,1563696106,Humid and Mostly Cloudy,partly-cloudy-day,0,0.016,0.06,rain,96.34,114.26,78.55,0.57,999.89,5.18,7.28,143,0.82,6
,,,,,,,,,,,,,,,,,,,,,
Indonesia,Jakarta,-6.166666667,106.816667,Asia/Jakarta,1563696107,Partly Cloudy,partly-cloudy-day,0,0,0,89.28,93.99,69.17,0.52,1007.15,16.39,16.39,49,0.19,4,5.005
,,,,,,,,,,,,,,,,,,,,,
Iran,Tehran,35.7,51.416667,Asia/Tehran,1563696108,Partly Cloudy,partly-cloudy-day,0,0,99.22,99.22,37.54,0.12,1011.72,11.88,12.64,134,0.24,10,6.243,283.1
,,,,,,,,,,,,,,,,,,,,,
Iraq,Baghdad,33.33333333,44.4,Asia/Baghdad,1563696110,Clear,clear-day,0,0,105.17,106.12,59.17,0.22,1001.01,18.68,20.47,295,0,10,6.243,295.1
,,,,,,,,,,,,,,,,,,,,,
Ireland,Dublin,53.31666667,-6.233333,Europe/Dublin,1563696111,Mostly Cloudy,partly-cloudy-day,37,297,0,0,65.85,65.85,54.21,0.66,1015.01,11.78,16.42,210,0.82,2
,,,,,,,,,,,,,,,,,,,,,
